SNG11-测试工程师（深圳）,深圳,招聘人数：1人,工作职责：负责腾讯云数字广东项目的安全产品上线测试工作；制定测试计划，设计和执行测试用例；进行缺陷跟踪和软件质量分析，保障和提升软件质量。,工作要求：计算机本科以上相关专业2年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业13年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIG12-解决方案高级工程师（深圳）,深圳,招聘人数：1人,工作职责：熟悉传统行业业务，并能对传统业务架构组成进行需求分析，同时针对云计算产品规划出云解决方案，针对云上架构进行优化设计；从网络、服务器、数据中心等不同层面设计传统企业上云的服务架构，提供IaaS/SaaS/PaaS/DaaS不同层级的解决方案；确保重点项目的拆解和落地，推进项目实施以及解决方案可复制，推动跨部门合作，推动架构和产品优化；了解行业技术发展变革方向，针对云服务特点在行业解决方案上有前瞻性布局。,工作要求：计算机本科以上相关专业14年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业15年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIG12-业务运维工程师（深圳）,深圳,招聘人数：3人,工作职责：支持服务上线部署、扩容、发布等变更；负责日常运营过程中故障处理、优化，保障服务质量；负责分析系统瓶颈与架构合理性，促进服务架构优化；通过工具与平台的建设，提升服务运营效率；负责服务状况与服务质量报告；优化服务运营流程与规范。,工作要求：计算机本科以上相关专业16年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业17年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNG16-运营开发工程师（深圳）,深圳,招聘人数：2人,工作职责：音乐业务运营支撑系统（主要包括发布平台、监控平台、运营自动化平台）的设计、开发工作；负责系统运营，确保系统7*24提供服务。,工作要求：计算机本科以上相关专业18年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业19年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEG05-高级运营开发工程师（深圳）,深圳,招聘人数：1人,工作职责：负责腾讯安全平台部数据平台建设，包括部门基础数据的建设和维护；负责部门离线分析平台的开发和维护，聚焦数据集市和常见数据分析算法包的集成应用；负责部门数据仓储建设，包括基础平台搭建，与业务结合产品开发与维护。,工作要求：计算机本科以上相关专业20年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业21年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMG064-高级测试开发工程师（上海）,上海,招聘人数：1人,工作职责：负责研发管理、持续交付平台的项目开发和日常维护；研究和学习最新技术，攻克技术难关，与团队分享，共同进步；完成安排的各项工作，提出合理技术方案并负责落实。,工作要求：计算机本科以上相关专业22年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业23年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIG08-NLP算法研究,深圳,招聘人数：1人,工作职责：负责中文分词、词性标注、句法分析、命名实体识别等NLP研发工作；负责问答系统语义理解、检索等研发工作；负责知识图谱构建的工作，从半结构化或无结构数据上构建知识图谱；负责文本类书籍的分类，标签提取，情感分析的算法等设计；负责设计自我认知和专业领域的问答系统。,工作要求：计算机本科以上相关专业24年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,工作要求：计算机本科以上相关专业25年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMG064-广告数据平台开发工程师（上海）,上海,招聘人数：1人,工作职责：分布式大数据计算平台开发；数据计算性能调优；高性能服务框架设计与开发；大数据关联性分析与洞察。,工作要求：计算机本科以上相关专业26年以上工作经验；熟练掌握PHP/Python/Shell等至少一门脚本语言；熟悉Linux/Unix操作系统、TCP/IP网络协议、Mysql等关系数据库；具备安全测试、性能测试经验者优先；具有云产品测试经验者优先；具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；有不错的工作抗压能力，富有激情，责任心强，做事客观公正。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
